区分,給付可否,要申立書,口座名義_代理人,口座名義_対象者,在留カード（認定請求日時点で有効なもの）,委任状,家族関係確認書類：健康保険被保険者証（表面）（認定請求者が対象者を扶養していることがわかるもの、対象者の住所が記載されているもの）,家族関係確認書類：健康保険被保険者証（裏面）（認定請求者が対象者を扶養していることがわかるもの、対象者の住所が記載されているもの）,家族関係確認書類：住民票の写し（認定請求者と対象者について記載のあるもの）,家族関係確認書類：対象者にかかる医療証（対象者の住所が記載されているもの）,対象者の住民票上の住所を確認できる書類,認定請求者が対象者を健康保険上扶養していることがわかる書類,住民票の写し,戸籍の附票の写し等,住民票の除票の写し等,措置決定通知書,その他の書類
A44-7,○,○,○,×,○,×,×,×,×,×,×,×,×,○,○,×,○
A44-8,○,○,○,×,○,×,×,×,×,×,×,×,○,○,○,×,○
A45-1,○,○,○,×,○,○,○,○,○,○,×,×,×,×,×,×,○
A45-2,○,○,○,×,○,○,○,○,○,○,×,×,○,×,×,×,○
A45-3,○,○,○,×,○,○,○,○,○,○,×,×,×,○,×,×,○
A45-4,○,○,○,×,○,○,○,○,○,○,×,×,×,×,○,×,○
A45-5,○,○,○,×,○,○,○,○,○,○,×,×,○,○,×,×,○
A45-6,○,○,○,×,○,○,○,○,○,○,×,×,○,×,○,×,○
A45-7,○,○,○,×,○,○,○,○,○,○,×,×,×,○,○,×,○
A45-8,○,○,○,×,○,○,○,○,○,○,×,×,○,○,○,×,○
A46-1,○,○,○,×,○,○,○,○,○,○,×,×,×,×,×,×,○
A46-2,○,○,○,×,○,○,○,○,○,○,×,×,○,×,×,×,○
A46-3,○,○,○,×,○,○,○,○,○,○,×,×,×,○,×,×,○
A46-4,○,○,○,×,○,○,○,○,○,○,×,×,×,×,○,×,○
A46-5,○,○,○,×,○,○,○,○,○,○,×,×,○,○,×,×,○
A46-6,○,○,○,×,○,○,○,○,○,○,×,×,○,×,○,×,○
A46-7,○,○,○,×,○,○,○,○,○,○,×,×,×,○,○,×,○
A46-8,○,○,○,×,○,○,○,○,○,○,×,×,○,○,○,×,○
A47-1,○,○,○,×,○,○,○,○,○,○,×,×,×,×,×,×,○
A47-2,○,○,○,×,○,○,○,○,○,○,×,×,○,×,×,×,○
A47-3,○,○,○,×,○,○,○,○,○,○,×,×,×,○,×,×,○
A47-4,○,○,○,×,○,○,○,○,○,○,×,×,×,×,○,×,○
A47-5,○,○,○,×,○,○,○,○,○,○,×,×,○,○,×,×,○
A47-6,○,○,○,×,○,○,○,○,○,○,×,×,○,×,○,×,○
A47-7,○,○,○,×,○,○,○,○,○,○,×,×,×,○,○,×,○
A47-8,○,○,○,×,○,○,○,○,○,○,×,×,○,○,○,×,○
A48-1,○,○,○,×,○,○,○,○,○,○,○,×,×,×,×,×,○
A48-2,○,○,○,×,○,○,○,○,○,○,○,×,○,×,×,×,○
A48-3,○,○,○,×,○,○,○,○,○,○,○,×,×,○,×,×,○
A48-4,○,○,○,×,○,○,○,○,○,○,○,×,×,×,○,×,○
A48-5,○,○,○,×,○,○,○,○,○,○,○,×,○,○,×,×,○
A48-6,○,○,○,×,○,○,○,○,○,○,○,×,○,×,○,×,○
A48-7,○,○,○,×,○,○,○,○,○,○,○,×,×,○,○,×,○
A48-8,○,○,○,×,○,○,○,○,○,○,○,×,○,○,○,×,○
A49-1,○,×,○,×,○,○,○,○,○,○,×,×,×,×,×,×,○
A49-2,○,×,○,×,○,○,○,○,○,○,×,×,○,×,×,×,○
A49-3,○,×,○,×,○,○,○,○,○,○,×,×,×,○,×,×,○
A49-4,○,×,○,×,○,○,○,○,○,○,×,×,×,×,○,×,○
A49-5,○,×,○,×,○,○,○,○,○,○,×,×,○,○,×,×,○
A49-6,○,×,○,×,○,○,○,○,○,○,×,×,○,×,○,×,○
A49-7,○,×,○,×,○,○,○,○,○,○,×,×,×,○,○,×,○
A49-8,○,×,○,×,○,○,○,○,○,○,×,×,○,○,○,×,○
A50-1,○,○,○,×,○,○,○,○,○,○,○,×,×,×,×,×,○
A50-2,○,○,○,×,○,○,○,○,○,○,○,×,○,×,×,×,○
A50-3,○,○,○,×,○,○,○,○,○,○,○,×,×,○,×,×,○
A50-4,○,○,○,×,○,○,○,○,○,○,○,×,×,×,○,×,○
A50-5,○,○,○,×,○,○,○,○,○,○,○,×,○,○,×,×,○
A50-6,○,○,○,×,○,○,○,○,○,○,○,×,○,×,○,×,○
A50-7,○,○,○,×,○,○,○,○,○,○,○,×,×,○,○,×,○
A50-8,○,○,○,×,○,○,○,○,○,○,○,×,○,○,○,×,○
A51-1,○,○,○,×,○,○,○,○,○,○,○,×,×,×,×,×,○
A51-2,○,○,○,×,○,○,○,○,○,○,○,×,○,×,×,×,○
A51-3,○,○,○,×,○,○,○,○,○,○,○,×,×,○,×,×,○
A51-4,○,○,○,×,○,○,○,○,○,○,○,×,×,×,○,×,○
A51-5,○,○,○,×,○,○,○,○,○,○,○,×,○,○,×,×,○
A51-6,○,○,○,×,○,○,○,○,○,○,○,×,○,×,○,×,○
A51-7,○,○,○,×,○,○,○,○,○,○,○,×,×,○,○,×,○
A51-8,○,○,○,×,○,○,○,○,○,○,○,×,○,○,○,×,○
A52-1,○,○,○,×,○,○,○,○,○,○,○,×,×,×,×,×,○
A52-2,○,○,○,×,○,○,○,○,○,○,○,×,○,×,×,×,○
A52-3,○,○,○,×,○,○,○,○,○,○,○,×,×,○,×,×,○
A52-4,○,○,○,×,○,○,○,○,○,○,○,×,×,×,○,×,○
A52-5,○,○,○,×,○,○,○,○,○,○,○,×,○,○,×,×,○
A52-6,○,○,○,×,○,○,○,○,○,○,○,×,○,×,○,×,○
A52-7,○,○,○,×,○,○,○,○,○,○,○,×,×,○,○,×,○
A52-8,○,○,○,×,○,○,○,○,○,○,○,×,○,○,○,×,○
A53-1,○,○,○,×,○,○,×,×,×,×,×,×,×,×,×,×,○
A53-2,○,○,○,×,○,○,×,×,×,×,×,×,○,×,×,×,○
A53-3,○,○,○,×,○,○,×,×,×,×,×,×,×,○,×,×,○
A53-4,○,○,○,×,○,○,×,×,×,×,×,×,×,×,○,×,○
A53-5,○,○,○,×,○,○,×,×,×,×,×,×,○,○,×,×,○
A53-6,○,○,○,×,○,○,×,×,×,×,×,×,○,×,○,×,○
A53-7,○,○,○,×,○,○,×,×,×,×,×,×,×,○,○,×,○
A53-8,○,○,○,×,○,○,×,×,×,×,×,×,○,○,○,×,○
A54-1,○,○,○,×,○,○,×,×,×,×,×,×,×,×,×,×,○
A54-2,○,○,○,×,○,○,×,×,×,×,×,×,○,×,×,×,○
A54-3,○,○,○,×,○,○,×,×,×,×,×,×,×,○,×,×,○
A54-4,○,○,○,×,○,○,×,×,×,×,×,×,×,×,○,×,○
A54-5,○,○,○,×,○,○,×,×,×,×,×,×,○,○,×,×,○
A54-6,○,○,○,×,○,○,×,×,×,×,×,×,○,×,○,×,○
A54-7,○,○,○,×,○,○,×,×,×,×,×,×,×,○,○,×,○
A54-8,○,○,○,×,○,○,×,×,×,×,×,×,○,○,○,×,○
A55-1,○,○,○,×,○,○,×,×,×,×,×,×,×,×,×,×,○
A55-2,○,○,○,×,○,○,×,×,×,×,×,×,○,×,×,×,○
A55-3,○,○,○,×,○,○,×,×,×,×,×,×,×,○,×,×,○
A55-4,○,○,○,×,○,○,×,×,×,×,×,×,×,×,○,×,○
A55-5,○,○,○,×,○,○,×,×,×,×,×,×,○,○,×,×,○
A55-6,○,○,○,×,○,○,×,×,×,×,×,×,○,×,○,×,○
A55-7,○,○,○,×,○,○,×,×,×,×,×,×,×,○,○,×,○
A55-8,○,○,○,×,○,○,×,×,×,×,×,×,○,○,○,×,○
A56-1,○,○,○,×,○,○,×,×,×,×,×,×,×,×,×,×,○
A56-2,○,○,○,×,○,○,×,×,×,×,×,×,○,×,×,×,○
A56-3,○,○,○,×,○,○,×,×,×,×,×,×,×,○,×,×,○
A56-4,○,○,○,×,○,○,×,×,×,×,×,×,×,×,○,×,○
A56-5,○,○,○,×,○,○,×,×,×,×,×,×,○,○,×,×,○
A56-6,○,○,○,×,○,○,×,×,×,×,×,×,○,×,○,×,○
A56-7,○,○,○,×,○,○,×,×,×,×,×,×,×,○,○,×,○
A56-8,○,○,○,×,○,○,×,×,×,×,×,×,○,○,○,×,○
A57-1,○,○,○,×,○,○,×,×,×,×,×,×,×,×,×,×,○
A57-2,○,○,○,×,○,○,×,×,×,×,×,×,○,×,×,×,○
A57-3,○,○,○,×,○,○,×,×,×,×,×,×,×,○,×,×,○
A57-4,○,○,○,×,○,○,×,×,×,×,×,×,×,×,○,×,○
A57-5,○,○,○,×,○,○,×,×,×,×,×,×,○,○,×,×,○
A57-6,○,○,○,×,○,○,×,×,×,×,×,×,○,×,○,×,○
A57-7,○,○,○,×,○,○,×,×,×,×,×,×,×,○,○,×,○
A57-8,○,○,○,×,○,○,×,×,×,×,×,×,○,○,○,×,○
A58-1,○,○,○,×,○,○,×,×,×,×,×,×,×,×,×,×,○
A58-2,○,○,○,×,○,○,×,×,×,×,×,×,○,×,×,×,○
A58-3,○,○,○,×,○,○,×,×,×,×,×,×,×,○,×,×,○
A58-4,○,○,○,×,○,○,×,×,×,×,×,×,×,×,○,×,○
A58-5,○,○,○,×,○,○,×,×,×,×,×,×,○,○,×,×,○
A58-6,○,○,○,×,○,○,×,×,×,×,×,×,○,×,○,×,○
A58-7,○,○,○,×,○,○,×,×,×,×,×,×,×,○,○,×,○
A58-8,○,○,○,×,○,○,×,×,×,×,×,×,○,○,○,×,○
A59-1,○,○,○,×,○,○,×,×,×,×,×,×,×,×,×,×,○
A59-2,○,○,○,×,○,○,×,×,×,×,×,×,○,×,×,×,○
A59-3,○,○,○,×,○,○,×,×,×,×,×,×,×,○,×,×,○
A59-4,○,○,○,×,○,○,×,×,×,×,×,×,×,×,○,×,○
A59-5,○,○,○,×,○,○,×,×,×,×,×,×,○,○,×,×,○
A59-6,○,○,○,×,○,○,×,×,×,×,×,×,○,×,○,×,○
A59-7,○,○,○,×,○,○,×,×,×,×,×,×,×,○,○,×,○
A59-8,○,○,○,×,○,○,×,×,×,×,×,×,○,○,○,×,○
A60-1,○,○,○,×,○,○,×,×,×,×,×,×,×,×,×,×,○
A60-2,○,○,○,×,○,○,×,×,×,×,×,×,○,×,×,×,○
A60-3,○,○,○,×,○,○,×,×,×,×,×,×,×,○,×,×,○
A60-4,○,○,○,×,○,○,×,×,×,×,×,×,×,×,○,×,○
A60-5,○,○,○,×,○,○,×,×,×,×,×,×,○,○,×,×,○
A60-6,○,○,○,×,○,○,×,×,×,×,×,×,○,×,○,×,○
A60-7,○,○,○,×,○,○,×,×,×,×,×,×,×,○,○,×,○
A60-8,○,○,○,×,○,○,×,×,×,×,×,×,○,○,○,×,○
A61-1,○,○,○,×,○,○,×,×,×,×,×,×,×,×,×,×,○
A61-2,○,○,○,×,○,○,×,×,×,×,×,×,○,×,×,×,○
A61-3,○,○,○,×,○,○,×,×,×,×,×,×,×,○,×,×,○
A61-4,○,○,○,×,○,○,×,×,×,×,×,×,×,×,○,×,○
A61-5,○,○,○,×,○,○,×,×,×,×,×,×,○,○,×,×,○
A61-6,○,○,○,×,○,○,×,×,×,×,×,×,○,×,○,×,○
A61-7,○,○,○,×,○,○,×,×,×,×,×,×,×,○,○,×,○
A61-8,○,○,○,×,○,○,×,×,×,×,×,×,○,○,○,×,○
A62-1,○,○,○,×,○,○,×,×,×,×,×,×,×,×,×,×,○
A62-2,○,○,○,×,○,○,×,×,×,×,×,×,○,×,×,×,○
A62-3,○,○,○,×,○,○,×,×,×,×,×,×,×,○,×,×,○
A62-4,○,○,○,×,○,○,×,×,×,×,×,×,×,×,○,×,○
A62-5,○,○,○,×,○,○,×,×,×,×,×,×,○,○,×,×,○
A62-6,○,○,○,×,○,○,×,×,×,×,×,×,○,×,○,×,○
A62-7,○,○,○,×,○,○,×,×,×,×,×,×,×,○,○,×,○
A62-8,○,○,○,×,○,○,×,×,×,×,×,×,○,○,○,×,○
A63-1,○,○,○,×,○,○,×,×,×,×,×,×,×,×,×,×,○
A63-2,○,○,○,×,○,○,×,×,×,×,×,×,○,×,×,×,○
A63-3,○,○,○,×,○,○,×,×,×,×,×,×,×,○,×,×,○
A63-4,○,○,○,×,○,○,×,×,×,×,×,×,×,×,○,×,○
A63-5,○,○,○,×,○,○,×,×,×,×,×,×,○,○,×,×,○
A63-6,○,○,○,×,○,○,×,×,×,×,×,×,○,×,○,×,○
A63-7,○,○,○,×,○,○,×,×,×,×,×,×,×,○,○,×,○
A63-8,○,○,○,×,○,○,×,×,×,×,×,×,○,○,○,×,○
A64-1,○,×,○,×,○,○,×,×,×,×,×,×,×,×,×,×,○
A64-2,○,×,○,×,○,○,×,×,×,×,×,×,○,×,×,×,○
A64-3,○,×,○,×,○,○,×,×,×,×,×,×,×,○,×,×,○
A64-4,○,×,○,×,○,○,×,×,×,×,×,×,×,×,○,×,○
A64-5,○,×,○,×,○,○,×,×,×,×,×,×,○,○,×,×,○
A64-6,○,×,○,×,○,○,×,×,×,×,×,×,○,×,○,×,○
A64-7,○,×,○,×,○,○,×,×,×,×,×,×,×,○,○,×,○
A64-8,○,×,○,×,○,○,×,×,×,×,×,×,○,○,○,×,○
A65-1,○,○,○,○,○,×,○,○,○,○,×,×,×,×,×,×,○
A65-2,○,○,○,○,○,×,○,○,○,○,×,×,○,×,×,×,○
A65-3,○,○,○,○,○,×,○,○,○,○,×,×,×,○,×,×,○
A65-4,○,○,○,○,○,×,○,○,○,○,×,×,×,×,○,×,○
A65-5,○,○,○,○,○,×,○,○,○,○,×,×,○,○,×,×,○
A65-6,○,○,○,○,○,×,○,○,○,○,×,×,○,×,○,×,○
A65-7,○,○,○,○,○,×,○,○,○,○,×,×,×,○,○,×,○
A65-8,○,○,○,○,○,×,○,○,○,○,×,×,○,○,○,×,○
A66-1,○,○,○,○,○,×,○,○,○,○,×,×,×,×,×,×,○
A66-2,○,○,○,○,○,×,○,○,○,○,×,×,○,×,×,×,○
A66-3,○,○,○,○,○,×,○,○,○,○,×,×,×,○,×,×,○
A66-4,○,○,○,○,○,×,○,○,○,○,×,×,×,×,○,×,○
A66-5,○,○,○,○,○,×,○,○,○,○,×,×,○,○,×,×,○
A66-6,○,○,○,○,○,×,○,○,○,○,×,×,○,×,○,×,○
A66-7,○,○,○,○,○,×,○,○,○,○,×,×,×,○,○,×,○
A66-8,○,○,○,○,○,×,○,○,○,○,×,×,○,○,○,×,○
A67-1,○,○,○,○,○,×,○,○,○,○,×,×,×,×,×,×,○
A67-2,○,○,○,○,○,×,○,○,○,○,×,×,○,×,×,×,○
A67-3,○,○,○,○,○,×,○,○,○,○,×,×,×,○,×,×,○
A67-4,○,○,○,○,○,×,○,○,○,○,×,×,×,×,○,×,○
A67-5,○,○,○,○,○,×,○,○,○,○,×,×,○,○,×,×,○
A67-6,○,○,○,○,○,×,○,○,○,○,×,×,○,×,○,×,○
A67-7,○,○,○,○,○,×,○,○,○,○,×,×,×,○,○,×,○
A67-8,○,○,○,○,○,×,○,○,○,○,×,×,○,○,○,×,○
A68-1,○,○,○,○,○,×,○,○,○,○,○,×,×,×,×,×,○
A68-2,○,○,○,○,○,×,○,○,○,○,○,×,○,×,×,×,○
A68-3,○,○,○,○,○,×,○,○,○,○,○,×,×,○,×,×,○
A68-4,○,○,○,○,○,×,○,○,○,○,○,×,×,×,○,×,○
A68-5,○,○,○,○,○,×,○,○,○,○,○,×,○,○,×,×,○
A68-6,○,○,○,○,○,×,○,○,○,○,○,×,○,×,○,×,○
A68-7,○,○,○,○,○,×,○,○,○,○,○,×,×,○,○,×,○
A68-8,○,○,○,○,○,×,○,○,○,○,○,×,○,○,○,×,○
A69-1,○,×,○,○,○,×,○,○,○,○,×,×,×,×,×,×,○
A69-2,○,×,○,○,○,×,○,○,○,○,×,×,○,×,×,×,○
A69-3,○,×,○,○,○,×,○,○,○,○,×,×,×,○,×,×,○
A69-4,○,×,○,○,○,×,○,○,○,○,×,×,×,×,○,×,○
A69-5,○,×,○,○,○,×,○,○,○,○,×,×,○,○,×,×,○
A69-6,○,×,○,○,○,×,○,○,○,○,×,×,○,×,○,×,○
A69-7,○,×,○,○,○,×,○,○,○,○,×,×,×,○,○,×,○
A69-8,○,×,○,○,○,×,○,○,○,○,×,×,○,○,○,×,○
A70-1,○,○,○,○,○,×,○,○,○,○,○,×,×,×,×,×,○
A70-2,○,○,○,○,○,×,○,○,○,○,○,×,○,×,×,×,○
A70-3,○,○,○,○,○,×,○,○,○,○,○,×,×,○,×,×,○
A70-4,○,○,○,○,○,×,○,○,○,○,○,×,×,×,○,×,○
A70-5,○,○,○,○,○,×,○,○,○,○,○,×,○,○,×,×,○
A70-6,○,○,○,○,○,×,○,○,○,○,○,×,○,×,○,×,○
A70-7,○,○,○,○,○,×,○,○,○,○,○,×,×,○,○,×,○
A70-8,○,○,○,○,○,×,○,○,○,○,○,×,○,○,○,×,○
A71-1,○,○,○,○,○,×,○,○,○,○,○,×,×,×,×,×,○
A71-2,○,○,○,○,○,×,○,○,○,○,○,×,○,×,×,×,○
A71-3,○,○,○,○,○,×,○,○,○,○,○,×,×,○,×,×,○
A71-4,○,○,○,○,○,×,○,○,○,○,○,×,×,×,○,×,○
A71-5,○,○,○,○,○,×,○,○,○,○,○,×,○,○,×,×,○
A71-6,○,○,○,○,○,×,○,○,○,○,○,×,○,×,○,×,○
A71-7,○,○,○,○,○,×,○,○,○,○,○,×,×,○,○,×,○
A71-8,○,○,○,○,○,×,○,○,○,○,○,×,○,○,○,×,○
A72-1,○,○,○,○,○,×,○,○,○,○,○,×,×,×,×,×,○
A72-2,○,○,○,○,○,×,○,○,○,○,○,×,○,×,×,×,○
A72-3,○,○,○,○,○,×,○,○,○,○,○,×,×,○,×,×,○
A72-4,○,○,○,○,○,×,○,○,○,○,○,×,×,×,○,×,○
A72-5,○,○,○,○,○,×,○,○,○,○,○,×,○,○,×,×,○
A72-6,○,○,○,○,○,×,○,○,○,○,○,×,○,×,○,×,○
A72-7,○,○,○,○,○,×,○,○,○,○,○,×,×,○,○,×,○
A72-8,○,○,○,○,○,×,○,○,○,○,○,×,○,○,○,×,○
A73-1,○,○,○,○,○,×,×,×,×,×,×,×,×,×,×,×,○
A73-2,○,○,○,○,○,×,×,×,×,×,×,×,○,×,×,×,○
A73-3,○,○,○,○,○,×,×,×,×,×,×,×,×,○,×,×,○
A73-4,○,○,○,○,○,×,×,×,×,×,×,×,×,×,○,×,○
A73-5,○,○,○,○,○,×,×,×,×,×,×,×,○,○,×,×,○
A73-6,○,○,○,○,○,×,×,×,×,×,×,×,○,×,○,×,○
A73-7,○,○,○,○,○,×,×,×,×,×,×,×,×,○,○,×,○
A73-8,○,○,○,○,○,×,×,×,×,×,×,×,○,○,○,×,○
A74-1,○,○,○,○,○,×,×,×,×,×,×,×,×,×,×,×,○
A74-2,○,○,○,○,○,×,×,×,×,×,×,×,○,×,×,×,○
A74-3,○,○,○,○,○,×,×,×,×,×,×,×,×,○,×,×,○
A74-4,○,○,○,○,○,×,×,×,×,×,×,×,×,×,○,×,○
A74-5,○,○,○,○,○,×,×,×,×,×,×,×,○,○,×,×,○
A74-6,○,○,○,○,○,×,×,×,×,×,×,×,○,×,○,×,○
A74-7,○,○,○,○,○,×,×,×,×,×,×,×,×,○,○,×,○
A74-8,○,○,○,○,○,×,×,×,×,×,×,×,○,○,○,×,○
A75-1,○,○,○,○,○,×,×,×,×,×,×,×,×,×,×,×,○
A75-2,○,○,○,○,○,×,×,×,×,×,×,×,○,×,×,×,○
A75-3,○,○,○,○,○,×,×,×,×,×,×,×,×,○,×,×,○
A75-4,○,○,○,○,○,×,×,×,×,×,×,×,×,×,○,×,○
A75-5,○,○,○,○,○,×,×,×,×,×,×,×,○,○,×,×,○
A75-6,○,○,○,○,○,×,×,×,×,×,×,×,○,×,○,×,○
A75-7,○,○,○,○,○,×,×,×,×,×,×,×,×,○,○,×,○
A75-8,○,○,○,○,○,×,×,×,×,×,×,×,○,○,○,×,○
A76-1,○,×,○,○,○,×,×,×,×,×,×,×,×,×,×,×,○
A76-2,○,×,○,○,○,×,×,×,×,×,×,×,○,×,×,×,○
A76-3,○,×,○,○,○,×,×,×,×,×,×,×,×,○,×,×,○
A76-4,○,×,○,○,○,×,×,×,×,×,×,×,×,×,○,×,○
A76-5,○,×,○,○,○,×,×,×,×,×,×,×,○,○,×,×,○
A76-6,○,×,○,○,○,×,×,×,×,×,×,×,○,×,○,×,○
A76-7,○,×,○,○,○,×,×,×,×,×,×,×,×,○,○,×,○
A76-8,○,×,○,○,○,×,×,×,×,×,×,×,○,○,○,×,○
A77-1,○,○,○,○,○,×,×,×,×,×,×,×,×,×,×,×,○
A77-2,○,○,○,○,○,×,×,×,×,×,×,×,○,×,×,×,○
A77-3,○,○,○,○,○,×,×,×,×,×,×,×,×,○,×,×,○
A77-4,○,○,○,○,○,×,×,×,×,×,×,×,×,×,○,×,○
A77-5,○,○,○,○,○,×,×,×,×,×,×,×,○,○,×,×,○
A77-6,○,○,○,○,○,×,×,×,×,×,×,×,○,×,○,×,○
A77-7,○,○,○,○,○,×,×,×,×,×,×,×,×,○,○,×,○
A77-8,○,○,○,○,○,×,×,×,×,×,×,×,○,○,○,×,○
A78-1,○,○,○,○,○,×,×,×,×,×,×,×,×,×,×,×,○
A78-2,○,○,○,○,○,×,×,×,×,×,×,×,○,×,×,×,○
A78-3,○,○,○,○,○,×,×,×,×,×,×,×,×,○,×,×,○
A78-4,○,○,○,○,○,×,×,×,×,×,×,×,×,×,○,×,○
A78-5,○,○,○,○,○,×,×,×,×,×,×,×,○,○,×,×,○
A78-6,○,○,○,○,○,×,×,×,×,×,×,×,○,×,○,×,○
A78-7,○,○,○,○,○,×,×,×,×,×,×,×,×,○,○,×,○
A78-8,○,○,○,○,○,×,×,×,×,×,×,×,○,○,○,×,○
A79-1,○,○,○,○,○,×,×,×,×,×,×,×,×,×,×,×,○
A79-2,○,○,○,○,○,×,×,×,×,×,×,×,○,×,×,×,○
A79-3,○,○,○,○,○,×,×,×,×,×,×,×,×,○,×,×,○
A79-4,○,○,○,○,○,×,×,×,×,×,×,×,×,×,○,×,○
A79-5,○,○,○,○,○,×,×,×,×,×,×,×,○,○,×,×,○
A79-6,○,○,○,○,○,×,×,×,×,×,×,×,○,×,○,×,○
A79-7,○,○,○,○,○,×,×,×,×,×,×,×,×,○,○,×,○
A79-8,○,○,○,○,○,×,×,×,×,×,×,×,○,○,○,×,○
A80-1,○,×,○,○,○,×,×,×,×,×,×,×,×,×,×,×,○
A80-2,○,×,○,○,○,×,×,×,×,×,×,×,○,×,×,×,○
A80-3,○,×,○,○,○,×,×,×,×,×,×,×,×,○,×,×,○
A80-4,○,×,○,○,○,×,×,×,×,×,×,×,×,×,○,×,○
A80-5,○,×,○,○,○,×,×,×,×,×,×,×,○,○,×,×,○
A80-6,○,×,○,○,○,×,×,×,×,×,×,×,○,×,○,×,○
A80-7,○,×,○,○,○,×,×,×,×,×,×,×,×,○,○,×,○
A80-8,○,×,○,○,○,×,×,×,×,×,×,×,○,○,○,×,○
A81-1,○,○,○,○,○,×,×,×,×,×,×,×,×,×,×,×,○
A81-2,○,○,○,○,○,×,×,×,×,×,×,×,○,×,×,×,○
A81-3,○,○,○,○,○,×,×,×,×,×,×,×,×,○,×,×,○
